CMDLINE /home/hople/Downloads/miniconda3/yes/envs/algorithm/bin/python ./../dat_results/DeepSeek-V3/668.py
MEM 5.332031 1745294945.7959
MEM 5.332031 1745294945.7971
MEM 5.332031 1745294945.7983
MEM 6.226562 1745294945.7995
MEM 6.226562 1745294945.8007
MEM 6.562500 1745294945.8018
MEM 6.882812 1745294945.8065
MEM 7.218750 1745294945.8077
MEM 7.218750 1745294945.8089
MEM 7.218750 1745294945.8101
MEM 7.375000 1745294945.8113
MEM 7.375000 1745294945.8125
MEM 7.742188 1745294945.8137
MEM 8.242188 1745294945.8175
MEM 8.242188 1745294945.8187
MEM 8.242188 1745294945.8199
MEM 8.398438 1745294945.8211
MEM 8.398438 1745294945.8223
MEM 8.554688 1745294945.8235
MEM 8.710938 1745294945.8246
MEM 8.867188 1745294945.8258
MEM 9.023438 1745294945.8270
MEM 9.335938 1745294945.8282
MEM 9.492188 1745294945.8294
MEM 9.492188 1745294945.8306
MEM 9.648438 1745294945.8317
MEM 9.804688 1745294945.8329
MEM 9.960938 1745294945.8341
MEM 9.960938 1745294945.8353
MEM 9.960938 1745294945.8365
MEM 10.125000 1745294945.8377
MEM 10.281250 1745294945.8389
MEM 10.437500 1745294945.8401
MEM 10.437500 1745294945.8413
MEM 10.781250 1745294945.8425
MEM 11.093750 1745294945.8436
MEM 11.093750 1745294945.8448
MEM 11.890625 1745294945.8495
MEM 11.890625 1745294945.8507
MEM 13.406250 1745294945.8519
MEM 14.234375 1745294945.8531
MEM 14.703125 1745294945.8543
MEM 14.703125 1745294945.8554
MEM 15.050781 1745294945.8566
MEM 15.445312 1745294945.8578
MEM 15.914062 1745294945.8590
MEM 16.070312 1745294945.8602
MEM 16.070312 1745294945.8614
MEM 16.226562 1745294945.8625
MEM 16.382812 1745294945.8637
MEM 16.382812 1745294945.8649
MEM 16.539062 1745294945.8661
MEM 16.539062 1745294945.8673
MEM 16.695312 1745294945.8685
MEM 16.859375 1745294945.8697
MEM 16.859375 1745294945.8709
MEM 17.015625 1745294945.8721
MEM 17.015625 1745294945.8733
MEM 17.171875 1745294945.8744
MEM 17.484375 1745294945.8756
MEM 17.640625 1745294945.8768
MEM 17.640625 1745294945.8780
MEM 17.640625 1745294945.8792
MEM 17.796875 1745294945.8815
MEM 17.953125 1745294945.8827
MEM 18.265625 1745294945.8839
MEM 18.421875 1745294945.8851
MEM 18.578125 1745294945.8862
MEM 18.578125 1745294945.8874
MEM 18.890625 1745294945.8886
MEM 18.890625 1745294945.8898
MEM 19.394531 1745294945.8925
MEM 19.550781 1745294945.8937
MEM 19.550781 1745294945.8949
MEM 19.707031 1745294945.8961
MEM 19.902344 1745294945.8973
MEM 20.226562 1745294945.8985
MEM 20.382812 1745294945.8997
MEM 20.382812 1745294945.9009
MEM 20.382812 1745294945.9021
MEM 20.539062 1745294945.9033
MEM 20.539062 1745294945.9065
MEM 20.695312 1745294945.9077
MEM 20.851562 1745294945.9089
MEM 21.175781 1745294945.9101
MEM 21.175781 1745294945.9113
MEM 21.332031 1745294945.9125
MEM 21.332031 1745294945.9137
MEM 21.644531 1745294945.9149
MEM 21.800781 1745294945.9161
MEM 21.800781 1745294945.9173
MEM 21.957031 1745294945.9185
MEM 22.269531 1745294945.9196
MEM 22.269531 1745294945.9208
MEM 22.269531 1745294945.9220
MEM 22.425781 1745294945.9245
MEM 22.425781 1745294945.9257
MEM 22.425781 1745294945.9269
MEM 22.582031 1745294945.9280
MEM 22.738281 1745294945.9292
MEM 23.207031 1745294945.9304
MEM 23.207031 1745294945.9316
MEM 23.363281 1745294945.9328
MEM 23.363281 1745294945.9340
MEM 23.675781 1745294945.9385
MEM 23.675781 1745294945.9397
MEM 23.832031 1745294945.9409
MEM 23.832031 1745294945.9421
MEM 24.144531 1745294945.9432
MEM 24.300781 1745294945.9444
MEM 24.300781 1745294945.9456
MEM 24.457031 1745294945.9467
MEM 24.457031 1745294945.9479
MEM 24.457031 1745294945.9491
MEM 24.613281 1745294945.9503
MEM 24.613281 1745294945.9514
MEM 24.960938 1745294945.9526
MEM 24.960938 1745294945.9537
MEM 25.117188 1745294945.9549
MEM 25.117188 1745294945.9561
MEM 25.117188 1745294945.9572
MEM 25.117188 1745294945.9584
MEM 25.273438 1745294945.9595
MEM 25.429688 1745294945.9607
MEM 25.585938 1745294945.9619
MEM 25.898438 1745294945.9630
MEM 25.898438 1745294945.9642
MEM 26.054688 1745294945.9654
MEM 26.210938 1745294945.9665
MEM 26.523438 1745294945.9683
MEM 26.523438 1745294945.9704
MEM 26.679688 1745294945.9716
MEM 26.679688 1745294945.9728
MEM 26.835938 1745294945.9739
MEM 26.835938 1745294945.9751
MEM 26.992188 1745294945.9763
MEM 26.992188 1745294945.9775
MEM 27.148438 1745294945.9788
MEM 27.148438 1745294945.9801
MEM 27.304688 1745294945.9813
MEM 27.304688 1745294945.9824
MEM 27.460938 1745294945.9836
MEM 27.617188 1745294945.9884
MEM 28.097656 1745294945.9897
MEM 28.097656 1745294945.9909
MEM 28.097656 1745294945.9923
MEM 28.253906 1745294945.9935
MEM 28.253906 1745294945.9946
MEM 28.253906 1745294945.9958
MEM 28.253906 1745294945.9969
MEM 28.410156 1745294945.9981
MEM 28.410156 1745294945.9993
MEM 28.878906 1745294946.0006
MEM 28.878906 1745294946.0018
MEM 29.035156 1745294946.0030
MEM 29.035156 1745294946.0041
MEM 29.191406 1745294946.0053
MEM 29.191406 1745294946.0065
MEM 29.191406 1745294946.0076
MEM 29.347656 1745294946.0088
MEM 30.421875 1745294946.0100
MEM 31.355469 1745294946.0111
MEM 31.511719 1745294946.0123
MEM 31.511719 1745294946.0144
MEM 31.511719 1745294946.0156
MEM 31.511719 1745294946.0167
MEM 31.511719 1745294946.0179
MEM 31.511719 1745294946.0190
MEM 31.511719 1745294946.0202
MEM 31.511719 1745294946.0213
MEM 31.511719 1745294946.0225
MEM 31.511719 1745294946.0239
MEM 31.824219 1745294946.0267
MEM 31.824219 1745294946.0279
MEM 31.980469 1745294946.0290
MEM 31.980469 1745294946.0302
MEM 31.980469 1745294946.0314
MEM 32.136719 1745294946.0326
MEM 32.449219 1745294946.0354
MEM 32.605469 1745294946.0366
MEM 32.605469 1745294946.0379
MEM 32.605469 1745294946.0392
MEM 32.761719 1745294946.0403
MEM 32.917969 1745294946.0415
MEM 32.917969 1745294946.0427
MEM 32.917969 1745294946.0438
MEM 32.917969 1745294946.0450
MEM 33.230469 1745294946.0476
