CMDLINE /home/hople/Downloads/miniconda3/yes/envs/algorithm/bin/python ./../dat_results/DeepSeek-V3/1213.py
MEM 5.335938 1745294946.1113
MEM 6.410156 1745294946.1125
MEM 6.566406 1745294946.1137
MEM 7.222656 1745294946.1148
MEM 7.222656 1745294946.1160
MEM 7.558594 1745294946.1172
MEM 8.078125 1745294946.1183
MEM 8.078125 1745294946.1194
MEM 8.234375 1745294946.1206
MEM 8.546875 1745294946.1217
MEM 8.859375 1745294946.1229
MEM 8.859375 1745294946.1240
MEM 9.171875 1745294946.1252
MEM 9.328125 1745294946.1263
MEM 9.484375 1745294946.1275
MEM 9.484375 1745294946.1286
MEM 9.640625 1745294946.1298
MEM 9.796875 1745294946.1310
MEM 9.953125 1745294946.1321
MEM 9.953125 1745294946.1332
MEM 9.953125 1745294946.1344
MEM 10.316406 1745294946.1355
MEM 10.472656 1745294946.1367
MEM 10.472656 1745294946.1379
MEM 10.628906 1745294946.1390
MEM 10.941406 1745294946.1402
MEM 10.941406 1745294946.1414
MEM 11.570312 1745294946.1455
MEM 11.882812 1745294946.1467
MEM 13.441406 1745294946.1478
MEM 14.457031 1745294946.1490
MEM 14.613281 1745294946.1502
MEM 14.613281 1745294946.1514
MEM 14.925781 1745294946.1526
MEM 15.769531 1745294946.1537
MEM 15.925781 1745294946.1549
MEM 16.082031 1745294946.1560
MEM 16.238281 1745294946.1572
MEM 16.394531 1745294946.1583
MEM 16.394531 1745294946.1595
MEM 16.550781 1745294946.1606
MEM 16.550781 1745294946.1617
MEM 16.707031 1745294946.1629
MEM 16.707031 1745294946.1641
MEM 16.707031 1745294946.1652
MEM 16.863281 1745294946.1664
MEM 17.019531 1745294946.1676
MEM 17.019531 1745294946.1687
MEM 17.488281 1745294946.1699
MEM 17.488281 1745294946.1711
MEM 17.488281 1745294946.1723
MEM 17.644531 1745294946.1735
MEM 18.113281 1745294946.1775
MEM 18.425781 1745294946.1787
MEM 18.425781 1745294946.1798
MEM 18.582031 1745294946.1810
MEM 18.738281 1745294946.1822
MEM 18.894531 1745294946.1834
MEM 19.433594 1745294946.1845
MEM 19.433594 1745294946.1857
MEM 19.589844 1745294946.1868
MEM 19.746094 1745294946.1880
MEM 19.902344 1745294946.1892
MEM 20.062500 1745294946.1904
MEM 20.218750 1745294946.1915
MEM 20.375000 1745294946.1927
MEM 20.375000 1745294946.1939
MEM 20.531250 1745294946.1951
MEM 20.531250 1745294946.1962
MEM 20.531250 1745294946.1974
MEM 20.687500 1745294946.1986
MEM 20.843750 1745294946.1997
