CMDLINE /home/hople/Downloads/miniconda3/yes/envs/algorithm/bin/python ./../dat_results/DeepSeek-V3/162.py
MEM 0.398438 1745294945.8101
MEM 5.398438 1745294945.8135
MEM 5.398438 1745294945.8147
MEM 5.398438 1745294945.8159
MEM 5.398438 1745294945.8170
MEM 5.398438 1745294945.8182
MEM 5.398438 1745294945.8194
MEM 6.472656 1745294945.8206
MEM 6.628906 1745294945.8217
MEM 6.949219 1745294945.8229
MEM 6.949219 1745294945.8241
MEM 7.281250 1745294945.8275
MEM 7.621094 1745294945.8287
MEM 7.621094 1745294945.8299
MEM 7.621094 1745294945.8311
MEM 7.621094 1745294945.8322
MEM 8.152344 1745294945.8334
MEM 8.152344 1745294945.8346
MEM 8.464844 1745294945.8358
MEM 8.777344 1745294945.8369
MEM 8.933594 1745294945.8381
MEM 9.089844 1745294945.8393
MEM 9.089844 1745294945.8404
MEM 9.089844 1745294945.8416
MEM 9.089844 1745294945.8428
MEM 9.402344 1745294945.8445
MEM 9.558594 1745294945.8457
MEM 9.558594 1745294945.8468
MEM 9.714844 1745294945.8495
MEM 9.714844 1745294945.8507
MEM 9.714844 1745294945.8518
MEM 9.714844 1745294945.8530
MEM 9.714844 1745294945.8542
MEM 9.871094 1745294945.8553
MEM 10.027344 1745294945.8565
MEM 10.027344 1745294945.8576
MEM 10.027344 1745294945.8588
MEM 10.027344 1745294945.8599
MEM 10.027344 1745294945.8611
MEM 10.183594 1745294945.8623
MEM 10.183594 1745294945.8634
MEM 10.183594 1745294945.8646
MEM 10.183594 1745294945.8657
MEM 10.339844 1745294945.8671
MEM 10.867188 1745294945.8705
MEM 10.867188 1745294945.8717
MEM 11.023438 1745294945.8728
MEM 11.023438 1745294945.8740
MEM 11.023438 1745294945.8752
MEM 11.207031 1745294945.8763
MEM 11.207031 1745294945.8775
MEM 11.207031 1745294945.8788
MEM 11.363281 1745294945.8799
MEM 11.363281 1745294945.8811
MEM 11.527344 1745294945.8823
MEM 12.554688 1745294945.8845
MEM 14.070312 1745294945.8857
MEM 14.070312 1745294945.8868
MEM 14.070312 1745294945.8880
MEM 14.539062 1745294945.8892
MEM 14.695312 1745294945.8903
MEM 14.695312 1745294945.8915
MEM 15.441406 1745294945.8927
MEM 15.441406 1745294945.8955
MEM 15.441406 1745294945.8967
MEM 15.910156 1745294945.8979
MEM 16.066406 1745294945.8990
MEM 16.066406 1745294945.9002
MEM 16.066406 1745294945.9014
MEM 16.066406 1745294945.9025
MEM 16.066406 1745294945.9037
MEM 16.222656 1745294945.9049
MEM 16.378906 1745294945.9061
MEM 16.378906 1745294945.9072
MEM 16.378906 1745294945.9084
MEM 16.378906 1745294945.9096
MEM 16.535156 1745294945.9108
MEM 16.535156 1745294945.9120
MEM 16.535156 1745294945.9132
MEM 16.535156 1745294945.9143
MEM 16.855469 1745294945.9185
MEM 16.855469 1745294945.9197
MEM 16.855469 1745294945.9209
MEM 16.855469 1745294945.9220
MEM 16.855469 1745294945.9232
MEM 17.011719 1745294945.9244
MEM 17.167969 1745294945.9256
MEM 17.324219 1745294945.9267
MEM 17.324219 1745294945.9279
MEM 17.324219 1745294945.9290
MEM 17.636719 1745294945.9302
MEM 17.636719 1745294945.9314
MEM 17.636719 1745294945.9326
MEM 17.636719 1745294945.9337
MEM 17.636719 1745294945.9349
MEM 17.636719 1745294945.9361
MEM 17.636719 1745294945.9372
MEM 17.792969 1745294945.9384
MEM 17.792969 1745294945.9396
MEM 17.949219 1745294945.9408
MEM 17.949219 1745294945.9421
MEM 17.949219 1745294945.9432
MEM 17.949219 1745294945.9444
MEM 18.261719 1745294945.9486
MEM 18.261719 1745294945.9499
MEM 18.417969 1745294945.9510
