CMDLINE /home/hople/Downloads/miniconda3/yes/envs/algorithm/bin/python ./../dat_results/DeepSeek-V3/69.py
MEM 0.535156 1745294945.7749
MEM 4.207031 1745294945.7761
MEM 4.847656 1745294945.7773
MEM 6.261719 1745294945.7802
MEM 6.261719 1745294945.7814
MEM 6.261719 1745294945.7827
MEM 6.261719 1745294945.7839
MEM 6.261719 1745294945.7851
MEM 6.261719 1745294945.7862
MEM 6.417969 1745294945.7874
MEM 6.917969 1745294945.7885
MEM 7.074219 1745294945.7897
MEM 7.250000 1745294945.7909
MEM 7.406250 1745294945.7921
MEM 7.968750 1745294945.7933
MEM 8.125000 1745294945.7944
MEM 8.593750 1745294945.7976
MEM 8.750000 1745294945.7987
MEM 8.906250 1745294945.7999
MEM 8.906250 1745294945.8010
MEM 9.062500 1745294945.8022
MEM 9.375000 1745294945.8034
MEM 9.531250 1745294945.8045
MEM 9.531250 1745294945.8059
MEM 9.687500 1745294945.8071
MEM 9.843750 1745294945.8082
MEM 10.000000 1745294945.8094
MEM 10.000000 1745294945.8105
MEM 10.000000 1745294945.8118
MEM 10.000000 1745294945.8131
MEM 10.156250 1745294945.8142
MEM 10.312500 1745294945.8154
MEM 10.468750 1745294945.8166
MEM 10.988281 1745294945.8177
MEM 10.988281 1745294945.8190
MEM 10.988281 1745294945.8203
MEM 11.144531 1745294945.8247
MEM 11.308594 1745294945.8258
MEM 11.464844 1745294945.8270
MEM 11.621094 1745294945.8282
MEM 11.621094 1745294945.8293
MEM 11.789062 1745294945.8305
MEM 11.789062 1745294945.8316
MEM 13.503906 1745294945.8328
MEM 14.320312 1745294945.8340
MEM 14.476562 1745294945.8352
MEM 14.476562 1745294945.8365
MEM 15.222656 1745294945.8376
MEM 15.535156 1745294945.8388
MEM 15.691406 1745294945.8400
MEM 15.847656 1745294945.8411
MEM 16.003906 1745294945.8425
MEM 16.160156 1745294945.8436
MEM 16.160156 1745294945.8448
MEM 16.160156 1745294945.8459
MEM 16.316406 1745294945.8471
MEM 16.472656 1745294945.8482
MEM 16.636719 1745294945.8494
MEM 16.949219 1745294945.8536
MEM 17.261719 1745294945.8547
MEM 17.417969 1745294945.8559
MEM 17.417969 1745294945.8571
MEM 17.417969 1745294945.8582
MEM 17.574219 1745294945.8594
MEM 17.730469 1745294945.8606
MEM 18.042969 1745294945.8618
MEM 18.199219 1745294945.8630
MEM 18.355469 1745294945.8642
MEM 18.511719 1745294945.8654
MEM 18.667969 1745294945.8665
MEM 18.824219 1745294945.8677
MEM 19.171875 1745294945.8689
MEM 19.171875 1745294945.8701
MEM 19.328125 1745294945.8714
MEM 19.484375 1745294945.8725
MEM 19.679688 1745294945.8737
MEM 20.000000 1745294945.8748
MEM 20.156250 1745294945.8760
MEM 20.156250 1745294945.8772
MEM 20.312500 1745294945.8796
MEM 20.312500 1745294945.8808
MEM 20.312500 1745294945.8820
MEM 20.468750 1745294945.8832
MEM 20.625000 1745294945.8845
MEM 20.937500 1745294945.8856
MEM 20.937500 1745294945.8868
MEM 21.406250 1745294945.8895
MEM 21.562500 1745294945.8907
MEM 21.562500 1745294945.8918
MEM 22.031250 1745294945.8930
MEM 22.031250 1745294945.8942
MEM 22.031250 1745294945.8954
MEM 22.031250 1745294945.8966
MEM 22.187500 1745294945.8979
MEM 22.187500 1745294945.8991
MEM 22.187500 1745294945.9002
MEM 22.500000 1745294945.9014
MEM 22.656250 1745294945.9026
MEM 22.968750 1745294945.9039
MEM 23.125000 1745294945.9051
MEM 23.125000 1745294945.9063
MEM 23.281250 1745294945.9075
MEM 23.437500 1745294945.9095
MEM 23.437500 1745294945.9108
MEM 23.437500 1745294945.9121
MEM 23.437500 1745294945.9133
MEM 23.593750 1745294945.9146
MEM 24.062500 1745294945.9158
MEM 24.218750 1745294945.9185
MEM 24.218750 1745294945.9197
MEM 24.375000 1745294945.9211
MEM 24.750000 1745294945.9225
MEM 24.906250 1745294945.9237
MEM 25.062500 1745294945.9257
MEM 25.062500 1745294945.9269
MEM 25.062500 1745294945.9280
MEM 25.218750 1745294945.9292
MEM 25.375000 1745294945.9303
MEM 25.843750 1745294945.9344
MEM 25.843750 1745294945.9356
MEM 26.156250 1745294945.9368
MEM 26.156250 1745294945.9380
MEM 26.312500 1745294945.9394
MEM 26.312500 1745294945.9406
MEM 26.312500 1745294945.9417
