CMDLINE /home/hople/Downloads/miniconda3/yes/envs/algorithm/bin/python ./../dat_results/DeepSeek-V3/2111.py
MEM 0.535156 1745294945.7743
MEM 4.804688 1745294945.7772
MEM 5.324219 1745294945.7802
MEM 5.324219 1745294945.7814
MEM 6.398438 1745294945.7826
MEM 6.554688 1745294945.7839
MEM 6.875000 1745294945.7850
MEM 6.875000 1745294945.7862
MEM 7.207031 1745294945.7896
MEM 7.582031 1745294945.7907
MEM 7.925781 1745294945.7919
MEM 8.082031 1745294945.7931
MEM 8.238281 1745294945.7942
MEM 8.550781 1745294945.7954
MEM 8.707031 1745294945.7965
MEM 9.332031 1745294945.8007
MEM 9.332031 1745294945.8018
MEM 9.488281 1745294945.8030
MEM 9.644531 1745294945.8042
MEM 9.800781 1745294945.8054
MEM 9.800781 1745294945.8065
MEM 9.800781 1745294945.8081
MEM 10.113281 1745294945.8093
MEM 10.277344 1745294945.8105
MEM 10.589844 1745294945.8116
MEM 10.746094 1745294945.8128
MEM 10.746094 1745294945.8140
MEM 11.085938 1745294945.8153
MEM 11.085938 1745294945.8165
MEM 11.406250 1745294945.8177
MEM 11.730469 1745294945.8191
MEM 13.445312 1745294945.8203
MEM 14.417969 1745294945.8220
MEM 15.160156 1745294945.8257
MEM 15.628906 1745294945.8268
MEM 15.785156 1745294945.8280
MEM 15.941406 1745294945.8292
MEM 16.097656 1745294945.8304
MEM 16.097656 1745294945.8331
MEM 16.410156 1745294945.8342
MEM 16.574219 1745294945.8355
MEM 16.574219 1745294945.8366
MEM 16.730469 1745294945.8382
MEM 16.886719 1745294945.8394
MEM 17.355469 1745294945.8418
MEM 17.355469 1745294945.8430
MEM 17.355469 1745294945.8441
MEM 17.511719 1745294945.8453
MEM 17.667969 1745294945.8469
MEM 17.980469 1745294945.8481
MEM 18.292969 1745294945.8494
MEM 18.605469 1745294945.8523
MEM 19.109375 1745294945.8553
MEM 19.773438 1745294945.8595
MEM 20.089844 1745294945.8607
MEM 20.089844 1745294945.8619
