CMDLINE /home/hople/Downloads/miniconda3/yes/envs/algorithm/bin/python ./../dat_results/canonical_solution/1150.py
MEM 4.796875 1745297045.9298
MEM 4.796875 1745297045.9311
MEM 4.796875 1745297045.9323
MEM 5.316406 1745297045.9335
MEM 6.210938 1745297045.9346
MEM 6.390625 1745297045.9358
MEM 6.546875 1745297045.9370
MEM 6.703125 1745297045.9382
MEM 6.867188 1745297045.9394
MEM 7.046875 1745297045.9406
MEM 7.203125 1745297045.9418
MEM 7.539062 1745297045.9429
MEM 7.726562 1745297045.9441
MEM 7.726562 1745297045.9453
MEM 7.726562 1745297045.9465
MEM 7.726562 1745297045.9476
MEM 7.726562 1745297045.9488
MEM 7.914062 1745297045.9500
MEM 7.914062 1745297045.9512
MEM 8.226562 1745297045.9545
MEM 8.226562 1745297045.9557
MEM 8.226562 1745297045.9569
MEM 8.382812 1745297045.9581
MEM 8.695312 1745297045.9593
MEM 8.695312 1745297045.9605
MEM 8.695312 1745297045.9617
MEM 8.695312 1745297045.9629
MEM 8.851562 1745297045.9640
MEM 9.007812 1745297045.9652
MEM 9.164062 1745297045.9664
MEM 9.320312 1745297045.9676
MEM 9.320312 1745297045.9688
MEM 9.320312 1745297045.9700
MEM 9.320312 1745297045.9712
MEM 9.476562 1745297045.9723
MEM 9.632812 1745297045.9755
MEM 9.789062 1745297045.9767
MEM 9.789062 1745297045.9779
MEM 9.789062 1745297045.9791
MEM 9.789062 1745297045.9802
MEM 9.789062 1745297045.9814
MEM 9.789062 1745297045.9826
MEM 9.789062 1745297045.9838
MEM 9.789062 1745297045.9850
MEM 9.945312 1745297045.9861
MEM 10.101562 1745297045.9873
MEM 10.421875 1745297045.9885
MEM 10.421875 1745297045.9897
MEM 10.421875 1745297045.9909
MEM 10.421875 1745297045.9920
MEM 10.734375 1745297045.9956
MEM 10.734375 1745297045.9977
MEM 10.734375 1745297045.9988
MEM 10.734375 1745297046.0000
MEM 10.917969 1745297046.0012
MEM 10.917969 1745297046.0024
MEM 10.917969 1745297046.0037
MEM 11.394531 1745297046.0075
MEM 11.394531 1745297046.0087
MEM 11.718750 1745297046.0099
MEM 11.718750 1745297046.0111
MEM 12.070312 1745297046.0123
MEM 12.421875 1745297046.0134
MEM 13.937500 1745297046.0146
MEM 14.093750 1745297046.0159
MEM 14.406250 1745297046.0172
MEM 14.406250 1745297046.0184
MEM 14.406250 1745297046.0196
MEM 14.406250 1745297046.0208
MEM 15.312500 1745297046.0245
MEM 15.468750 1745297046.0257
MEM 15.625000 1745297046.0269
MEM 15.625000 1745297046.0281
MEM 15.781250 1745297046.0293
MEM 15.781250 1745297046.0305
MEM 15.781250 1745297046.0317
MEM 15.781250 1745297046.0330
MEM 15.937500 1745297046.0343
MEM 16.093750 1745297046.0355
MEM 16.093750 1745297046.0367
MEM 16.093750 1745297046.0379
MEM 16.093750 1745297046.0390
MEM 16.250000 1745297046.0402
MEM 16.250000 1745297046.0413
MEM 16.250000 1745297046.0424
MEM 16.250000 1745297046.0436
MEM 16.250000 1745297046.0447
MEM 16.250000 1745297046.0459
MEM 16.250000 1745297046.0471
MEM 16.406250 1745297046.0482
MEM 16.406250 1745297046.0494
MEM 16.570312 1745297046.0505
MEM 16.570312 1745297046.0517
MEM 16.570312 1745297046.0531
MEM 16.570312 1745297046.0543
MEM 16.570312 1745297046.0565
MEM 16.726562 1745297046.0577
MEM 16.726562 1745297046.0589
MEM 16.882812 1745297046.0602
MEM 16.882812 1745297046.0615
MEM 16.882812 1745297046.0627
MEM 17.039062 1745297046.0657
MEM 17.195312 1745297046.0669
MEM 17.351562 1745297046.0681
MEM 17.507812 1745297046.0693
MEM 17.507812 1745297046.0705
MEM 17.507812 1745297046.0717
MEM 17.507812 1745297046.0729
MEM 17.507812 1745297046.0741
MEM 17.507812 1745297046.0752
MEM 17.507812 1745297046.0764
MEM 17.507812 1745297046.0775
MEM 17.507812 1745297046.0791
MEM 17.664062 1745297046.0803
MEM 17.820312 1745297046.0837
MEM 17.820312 1745297046.0849
MEM 17.976562 1745297046.0860
MEM 17.976562 1745297046.0872
MEM 18.132812 1745297046.0884
MEM 18.289062 1745297046.0896
MEM 18.289062 1745297046.0909
MEM 18.445312 1745297046.0922
MEM 18.601562 1745297046.0933
MEM 18.601562 1745297046.0946
MEM 18.914062 1745297046.0957
MEM 18.914062 1745297046.0969
MEM 18.914062 1745297046.0981
MEM 19.105469 1745297046.1007
MEM 19.105469 1745297046.1018
MEM 19.105469 1745297046.1030
MEM 19.261719 1745297046.1042
MEM 19.261719 1745297046.1054
MEM 19.261719 1745297046.1065
MEM 19.261719 1745297046.1077
MEM 19.417969 1745297046.1089
MEM 19.417969 1745297046.1101
MEM 19.574219 1745297046.1112
MEM 19.769531 1745297046.1124
MEM 19.769531 1745297046.1136
MEM 20.085938 1745297046.1148
MEM 20.085938 1745297046.1160
MEM 20.085938 1745297046.1171
MEM 20.085938 1745297046.1195
MEM 20.242188 1745297046.1207
MEM 20.242188 1745297046.1219
MEM 20.242188 1745297046.1230
MEM 20.242188 1745297046.1242
MEM 20.242188 1745297046.1254
MEM 20.242188 1745297046.1266
MEM 20.242188 1745297046.1278
MEM 20.398438 1745297046.1289
MEM 20.710938 1745297046.1335
MEM 20.710938 1745297046.1347
MEM 20.878906 1745297046.1359
MEM 20.878906 1745297046.1371
MEM 20.878906 1745297046.1383
MEM 20.878906 1745297046.1395
MEM 20.878906 1745297046.1407
MEM 21.035156 1745297046.1419
MEM 21.347656 1745297046.1430
MEM 21.503906 1745297046.1442
MEM 21.503906 1745297046.1454
MEM 21.503906 1745297046.1466
MEM 21.503906 1745297046.1478
MEM 21.503906 1745297046.1490
MEM 21.660156 1745297046.1501
MEM 21.972656 1745297046.1513
MEM 21.816406 1745297046.1525
MEM 21.816406 1745297046.1536
MEM 21.816406 1745297046.1548
MEM 21.816406 1745297046.1560
MEM 21.972656 1745297046.1572
MEM 21.972656 1745297046.1584
MEM 22.128906 1745297046.1596
MEM 22.128906 1745297046.1608
MEM 22.128906 1745297046.1619
MEM 22.718750 1745297046.1655
MEM 22.875000 1745297046.1667
MEM 23.031250 1745297046.1679
MEM 23.187500 1745297046.1691
MEM 23.187500 1745297046.1703
MEM 23.187500 1745297046.1714
MEM 23.343750 1745297046.1726
MEM 23.343750 1745297046.1738
MEM 23.343750 1745297046.1750
MEM 23.500000 1745297046.1762
MEM 23.656250 1745297046.1774
MEM 23.968750 1745297046.1786
MEM 23.968750 1745297046.1798
MEM 23.968750 1745297046.1810
MEM 23.968750 1745297046.1821
MEM 24.281250 1745297046.1865
MEM 24.281250 1745297046.1877
MEM 24.449219 1745297046.1889
MEM 24.605469 1745297046.1901
MEM 24.605469 1745297046.1913
MEM 24.605469 1745297046.1924
MEM 24.761719 1745297046.1936
MEM 24.761719 1745297046.1948
MEM 24.761719 1745297046.1960
MEM 24.917969 1745297046.1972
MEM 25.230469 1745297046.1984
MEM 25.542969 1745297046.2005
MEM 25.542969 1745297046.2017
MEM 25.699219 1745297046.2029
MEM 26.335938 1745297046.2075
MEM 26.335938 1745297046.2087
MEM 26.492188 1745297046.2099
MEM 26.492188 1745297046.2111
MEM 26.492188 1745297046.2123
MEM 26.648438 1745297046.2134
MEM 26.648438 1745297046.2146
MEM 26.804688 1745297046.2158
MEM 26.804688 1745297046.2170
MEM 26.804688 1745297046.2182
MEM 26.960938 1745297046.2194
MEM 26.960938 1745297046.2206
MEM 26.960938 1745297046.2218
MEM 27.117188 1745297046.2229
MEM 27.117188 1745297046.2241
MEM 27.273438 1745297046.2253
MEM 27.429688 1745297046.2265
MEM 27.429688 1745297046.2277
MEM 27.429688 1745297046.2288
MEM 27.585938 1745297046.2300
MEM 27.585938 1745297046.2312
MEM 27.742188 1745297046.2355
MEM 27.742188 1745297046.2367
MEM 27.742188 1745297046.2379
MEM 27.742188 1745297046.2390
MEM 27.898438 1745297046.2402
MEM 27.898438 1745297046.2414
MEM 27.898438 1745297046.2426
MEM 27.898438 1745297046.2438
MEM 28.054688 1745297046.2449
MEM 28.054688 1745297046.2461
MEM 28.367188 1745297046.2473
MEM 28.523438 1745297046.2485
MEM 28.523438 1745297046.2497
MEM 28.679688 1745297046.2509
MEM 28.679688 1745297046.2520
MEM 28.679688 1745297046.2532
MEM 28.835938 1745297046.2544
MEM 28.835938 1745297046.2556
MEM 28.835938 1745297046.2568
MEM 28.835938 1745297046.2580
MEM 29.910156 1745297046.2591
MEM 31.000000 1745297046.2603
MEM 31.328125 1745297046.2615
MEM 31.328125 1745297046.2626
MEM 31.640625 1745297046.2675
MEM 31.640625 1745297046.2687
MEM 31.796875 1745297046.2699
MEM 31.796875 1745297046.2711
MEM 31.953125 1745297046.2722
MEM 31.953125 1745297046.2735
MEM 32.265625 1745297046.2746
MEM 32.421875 1745297046.2758
MEM 32.421875 1745297046.2770
MEM 32.578125 1745297046.2782
MEM 32.578125 1745297046.2794
MEM 32.734375 1745297046.2806
MEM 32.890625 1745297046.2817
MEM 32.890625 1745297046.2829
MEM 33.046875 1745297046.2841
MEM 33.046875 1745297046.2853
MEM 33.046875 1745297046.2865
MEM 33.046875 1745297046.2876
MEM 33.203125 1745297046.2888
MEM 33.515625 1745297046.2900
MEM 33.515625 1745297046.2912
MEM 33.671875 1745297046.2924
MEM 33.671875 1745297046.2935
MEM 33.671875 1745297046.2947
MEM 33.671875 1745297046.2959
MEM 33.671875 1745297046.2970
MEM 33.671875 1745297046.2982
MEM 34.527344 1745297046.3025
MEM 34.527344 1745297046.3037
MEM 34.527344 1745297046.3049
MEM 34.527344 1745297046.3061
MEM 34.527344 1745297046.3072
MEM 34.683594 1745297046.3084
MEM 34.683594 1745297046.3096
MEM 34.683594 1745297046.3108
MEM 34.683594 1745297046.3120
MEM 34.839844 1745297046.3131
MEM 34.839844 1745297046.3143
MEM 34.839844 1745297046.3155
MEM 34.839844 1745297046.3167
MEM 34.839844 1745297046.3178
MEM 34.996094 1745297046.3191
MEM 34.996094 1745297046.3202
MEM 35.152344 1745297046.3214
MEM 35.152344 1745297046.3226
MEM 36.246094 1745297046.3238
MEM 35.847656 1745297046.3249
MEM 36.003906 1745297046.3261
MEM 36.003906 1745297046.3273
MEM 36.003906 1745297046.3285
MEM 36.160156 1745297046.3297
MEM 36.316406 1745297046.3345
MEM 36.472656 1745297046.3357
MEM 36.472656 1745297046.3369
MEM 36.472656 1745297046.3381
MEM 36.628906 1745297046.3393
MEM 36.628906 1745297046.3405
MEM 36.628906 1745297046.3417
MEM 36.785156 1745297046.3429
MEM 36.785156 1745297046.3440
MEM 36.941406 1745297046.3452
MEM 36.941406 1745297046.3464
MEM 36.941406 1745297046.3476
MEM 36.941406 1745297046.3488
MEM 37.097656 1745297046.3499
MEM 37.097656 1745297046.3511
MEM 37.253906 1745297046.3523
MEM 37.253906 1745297046.3535
MEM 37.410156 1745297046.3546
MEM 37.410156 1745297046.3558
MEM 37.566406 1745297046.3570
MEM 37.722656 1745297046.3582
MEM 37.878906 1745297046.3594
MEM 37.878906 1745297046.3605
MEM 37.878906 1745297046.3617
MEM 37.878906 1745297046.3629
MEM 37.878906 1745297046.3641
MEM 37.878906 1745297046.3653
MEM 38.035156 1745297046.3671
MEM 38.035156 1745297046.3683
MEM 38.191406 1745297046.3694
MEM 38.503906 1745297046.3716
MEM 38.503906 1745297046.3728
MEM 38.660156 1745297046.3740
MEM 38.660156 1745297046.3752
MEM 38.816406 1745297046.3763
MEM 38.816406 1745297046.3775
MEM 38.816406 1745297046.3787
MEM 38.972656 1745297046.3798
MEM 38.972656 1745297046.3812
MEM 39.285156 1745297046.3824
MEM 39.441406 1745297046.3836
MEM 39.597656 1745297046.3887
MEM 39.753906 1745297046.3898
MEM 39.753906 1745297046.3910
MEM 39.910156 1745297046.3922
MEM 39.910156 1745297046.3933
MEM 40.066406 1745297046.3945
MEM 40.269531 1745297046.3957
MEM 40.425781 1745297046.3969
MEM 40.425781 1745297046.3981
MEM 40.582031 1745297046.3992
MEM 40.582031 1745297046.4004
MEM 40.582031 1745297046.4016
MEM 40.582031 1745297046.4028
MEM 40.738281 1745297046.4039
MEM 40.894531 1745297046.4052
MEM 41.050781 1745297046.4065
MEM 41.050781 1745297046.4077
MEM 41.210938 1745297046.4089
MEM 41.367188 1745297046.4100
MEM 41.367188 1745297046.4112
MEM 41.523438 1745297046.4124
MEM 41.523438 1745297046.4137
MEM 41.523438 1745297046.4149
MEM 41.679688 1745297046.4161
MEM 41.679688 1745297046.4172
MEM 41.835938 1745297046.4206
MEM 41.835938 1745297046.4218
MEM 41.835938 1745297046.4229
MEM 41.992188 1745297046.4241
MEM 41.992188 1745297046.4253
MEM 42.148438 1745297046.4265
MEM 42.460938 1745297046.4276
MEM 42.460938 1745297046.4288
MEM 42.617188 1745297046.4301
MEM 42.617188 1745297046.4314
MEM 42.617188 1745297046.4326
MEM 42.617188 1745297046.4337
MEM 42.617188 1745297046.4349
MEM 42.617188 1745297046.4361
MEM 42.617188 1745297046.4373
MEM 42.773438 1745297046.4404
MEM 42.773438 1745297046.4416
MEM 42.773438 1745297046.4428
MEM 42.773438 1745297046.4441
MEM 42.773438 1745297046.4454
MEM 42.929688 1745297046.4495
MEM 42.929688 1745297046.4507
MEM 42.929688 1745297046.4522
MEM 43.085938 1745297046.4533
MEM 43.085938 1745297046.4545
MEM 43.085938 1745297046.4557
MEM 43.085938 1745297046.4568
MEM 43.242188 1745297046.4580
MEM 43.242188 1745297046.4592
MEM 43.398438 1745297046.4637
MEM 43.554688 1745297046.4649
MEM 43.554688 1745297046.4660
MEM 43.710938 1745297046.4672
MEM 43.710938 1745297046.4684
MEM 43.867188 1745297046.4710
MEM 43.867188 1745297046.4722
MEM 43.867188 1745297046.4735
MEM 44.023438 1745297046.4746
MEM 44.023438 1745297046.4758
MEM 44.179688 1745297046.4769
MEM 44.179688 1745297046.4780
MEM 44.335938 1745297046.4792
MEM 44.335938 1745297046.4803
MEM 44.492188 1745297046.4814
MEM 44.648438 1745297046.4826
MEM 44.648438 1745297046.4837
MEM 44.648438 1745297046.4849
MEM 44.804688 1745297046.4868
MEM 44.960938 1745297046.4880
MEM 44.960938 1745297046.4891
MEM 45.429688 1745297046.4903
MEM 45.964844 1745297046.4914
MEM 45.964844 1745297046.4926
MEM 46.121094 1745297046.4965
MEM 46.277344 1745297046.4977
MEM 46.277344 1745297046.4989
MEM 46.433594 1745297046.5000
MEM 46.433594 1745297046.5014
MEM 46.589844 1745297046.5026
MEM 46.746094 1745297046.5049
MEM 46.746094 1745297046.5060
MEM 46.746094 1745297046.5072
MEM 46.746094 1745297046.5083
MEM 46.746094 1745297046.5095
MEM 46.902344 1745297046.5106
MEM 46.902344 1745297046.5119
MEM 46.902344 1745297046.5132
MEM 46.902344 1745297046.5143
MEM 46.902344 1745297046.5154
MEM 47.058594 1745297046.5166
MEM 47.058594 1745297046.5177
MEM 47.058594 1745297046.5189
MEM 47.058594 1745297046.5200
MEM 47.058594 1745297046.5212
MEM 47.214844 1745297046.5246
MEM 47.214844 1745297046.5258
MEM 47.214844 1745297046.5269
MEM 47.214844 1745297046.5281
MEM 47.214844 1745297046.5298
MEM 47.214844 1745297046.5310
MEM 47.214844 1745297046.5321
MEM 47.214844 1745297046.5333
MEM 47.214844 1745297046.5344
MEM 47.214844 1745297046.5356
MEM 47.214844 1745297046.5368
MEM 47.214844 1745297046.5379
MEM 47.214844 1745297046.5390
MEM 47.214844 1745297046.5402
MEM 47.214844 1745297046.5414
MEM 47.214844 1745297046.5426
MEM 47.214844 1745297046.5438
MEM 47.214844 1745297046.5449
MEM 47.214844 1745297046.5461
MEM 47.214844 1745297046.5472
MEM 47.214844 1745297046.5484
MEM 47.214844 1745297046.5504
MEM 47.214844 1745297046.5515
MEM 47.214844 1745297046.5527
MEM 47.214844 1745297046.5546
MEM 47.214844 1745297046.5558
MEM 47.214844 1745297046.5569
MEM 47.214844 1745297046.5581
MEM 47.214844 1745297046.5594
MEM 47.214844 1745297046.5605
MEM 47.214844 1745297046.5617
MEM 47.214844 1745297046.5629
MEM 47.214844 1745297046.5640
MEM 47.214844 1745297046.5663
MEM 47.214844 1745297046.5675
MEM 47.371094 1745297046.5686
MEM 47.527344 1745297046.5698
MEM 47.683594 1745297046.5709
MEM 47.683594 1745297046.5721
MEM 47.839844 1745297046.5732
MEM 47.839844 1745297046.5744
MEM 47.839844 1745297046.5755
MEM 47.839844 1745297046.5767
MEM 47.996094 1745297046.5786
MEM 48.152344 1745297046.5798
MEM 48.152344 1745297046.5809
MEM 48.308594 1745297046.5821
MEM 48.308594 1745297046.5832
MEM 48.308594 1745297046.5844
MEM 48.308594 1745297046.5856
MEM 48.308594 1745297046.5869
MEM 48.308594 1745297046.5881
MEM 48.308594 1745297046.5892
MEM 48.308594 1745297046.5904
MEM 48.464844 1745297046.5945
MEM 48.464844 1745297046.5957
MEM 48.464844 1745297046.5968
MEM 48.464844 1745297046.5980
MEM 48.464844 1745297046.5993
MEM 48.464844 1745297046.6005
MEM 48.621094 1745297046.6016
MEM 48.621094 1745297046.6028
MEM 48.621094 1745297046.6039
MEM 48.621094 1745297046.6051
MEM 48.621094 1745297046.6062
MEM 48.621094 1745297046.6074
MEM 48.621094 1745297046.6087
MEM 48.621094 1745297046.6098
MEM 48.621094 1745297046.6109
MEM 48.621094 1745297046.6121
MEM 48.621094 1745297046.6132
MEM 48.777344 1745297046.6143
MEM 48.777344 1745297046.6154
MEM 48.777344 1745297046.6165
MEM 48.777344 1745297046.6177
MEM 48.777344 1745297046.6188
MEM 48.777344 1745297046.6224
MEM 49.871094 1745297046.6236
MEM 49.921875 1745297046.6247
MEM 50.703125 1745297046.6258
MEM 51.640625 1745297046.6270
MEM 51.953125 1745297046.6282
MEM 51.953125 1745297046.6294
MEM 51.953125 1745297046.6305
MEM 51.953125 1745297046.6317
MEM 51.953125 1745297046.6328
MEM 51.953125 1745297046.6339
MEM 52.578125 1745297046.6350
MEM 52.578125 1745297046.6362
MEM 52.578125 1745297046.6373
MEM 52.578125 1745297046.6385
MEM 53.359375 1745297046.6396
MEM 54.453125 1745297046.6408
MEM 54.765625 1745297046.6419
MEM 54.765625 1745297046.6430
MEM 54.765625 1745297046.6442
MEM 55.078125 1745297046.6464
MEM 55.078125 1745297046.6476
MEM 55.078125 1745297046.6487
MEM 55.078125 1745297046.6499
MEM 55.546875 1745297046.6510
MEM 56.015625 1745297046.6522
MEM 56.640625 1745297046.6533
MEM 56.640625 1745297046.6545
MEM 56.640625 1745297046.6556
MEM 56.640625 1745297046.6567
MEM 58.046875 1745297046.6581
MEM 58.671875 1745297046.6592
MEM 59.296875 1745297046.6625
MEM 59.296875 1745297046.6637
MEM 59.296875 1745297046.6650
MEM 59.296875 1745297046.6662
MEM 59.296875 1745297046.6674
MEM 59.296875 1745297046.6685
MEM 59.453125 1745297046.6697
MEM 60.078125 1745297046.6709
MEM 61.015625 1745297046.6723
MEM 61.015625 1745297046.6735
MEM 61.015625 1745297046.6746
MEM 61.328125 1745297046.6757
MEM 62.578125 1745297046.6780
MEM 62.734375 1745297046.6791
MEM 62.734375 1745297046.6802
MEM 62.734375 1745297046.6814
MEM 62.734375 1745297046.6825
MEM 66.171875 1745297046.6876
MEM 66.328125 1745297046.6887
MEM 66.796875 1745297046.6899
MEM 67.578125 1745297046.6911
MEM 68.203125 1745297046.6922
MEM 68.203125 1745297046.6935
MEM 68.203125 1745297046.6947
MEM 68.203125 1745297046.6958
MEM 68.515625 1745297046.6970
MEM 69.296875 1745297046.6981
MEM 69.921875 1745297046.6993
MEM 69.921875 1745297046.7004
MEM 70.078125 1745297046.7017
MEM 70.859375 1745297046.7030
MEM 71.484375 1745297046.7041
MEM 71.640625 1745297046.7052
MEM 71.953125 1745297046.7064
MEM 72.578125 1745297046.7075
MEM 73.046875 1745297046.7088
MEM 73.671875 1745297046.7100
MEM 73.984375 1745297046.7111
MEM 74.140625 1745297046.7123
MEM 74.765625 1745297046.7134
MEM 75.390625 1745297046.7146
MEM 75.859375 1745297046.7157
MEM 75.859375 1745297046.7170
MEM 75.859375 1745297046.7181
MEM 75.859375 1745297046.7192
MEM 76.328125 1745297046.7203
MEM 78.359375 1745297046.7214
MEM 81.171875 1745297046.7225
MEM 81.640625 1745297046.7237
MEM 81.640625 1745297046.7276
MEM 81.640625 1745297046.7288
