CMDLINE /home/hople/Downloads/miniconda3/yes/envs/algorithm/bin/python ./../dat_results/gpt-4-turbo/1439.py
MEM 4.503906 1745294932.6198
MEM 5.335938 1745294932.6210
MEM 5.707031 1745294932.6222
MEM 5.707031 1745294932.6234
MEM 5.707031 1745294932.6246
MEM 5.886719 1745294932.6258
MEM 6.566406 1745294932.6270
MEM 7.066406 1745294932.6281
MEM 7.222656 1745294932.6293
MEM 7.222656 1745294932.6305
MEM 7.222656 1745294932.6317
MEM 7.558594 1745294932.6345
MEM 8.089844 1745294932.6357
MEM 8.089844 1745294932.6369
MEM 8.089844 1745294932.6381
MEM 8.089844 1745294932.6393
MEM 8.246094 1745294932.6405
MEM 8.558594 1745294932.6416
MEM 8.714844 1745294932.6428
MEM 8.714844 1745294932.6440
MEM 8.714844 1745294932.6452
MEM 8.871094 1745294932.6464
MEM 8.871094 1745294932.6476
MEM 9.339844 1745294932.6525
MEM 9.496094 1745294932.6537
MEM 9.652344 1745294932.6549
MEM 9.652344 1745294932.6561
MEM 9.652344 1745294932.6573
MEM 9.652344 1745294932.6585
MEM 9.652344 1745294932.6597
MEM 9.652344 1745294932.6609
MEM 9.652344 1745294932.6621
MEM 9.808594 1745294932.6633
MEM 9.964844 1745294932.6645
MEM 9.964844 1745294932.6657
MEM 9.964844 1745294932.6668
MEM 9.964844 1745294932.6680
MEM 9.964844 1745294932.6692
MEM 9.964844 1745294932.6704
MEM 10.121094 1745294932.6716
MEM 10.277344 1745294932.6727
MEM 10.277344 1745294932.6739
MEM 10.277344 1745294932.6751
MEM 10.277344 1745294932.6763
MEM 10.433594 1745294932.6775
MEM 10.589844 1745294932.6786
MEM 10.933594 1745294932.6798
MEM 11.089844 1745294932.6810
MEM 11.089844 1745294932.6822
MEM 11.417969 1745294932.6834
MEM 11.417969 1745294932.6845
MEM 11.417969 1745294932.6886
MEM 11.417969 1745294932.6898
MEM 11.730469 1745294932.6910
MEM 11.886719 1745294932.6922
MEM 11.886719 1745294932.6933
MEM 11.886719 1745294932.6945
MEM 11.886719 1745294932.6958
MEM 13.726562 1745294932.6969
MEM 14.699219 1745294932.6981
MEM 14.699219 1745294932.6993
MEM 14.699219 1745294932.7005
MEM 14.699219 1745294932.7017
MEM 14.699219 1745294932.7029
MEM 14.699219 1745294932.7041
MEM 14.699219 1745294932.7053
MEM 14.699219 1745294932.7064
MEM 15.445312 1745294932.7076
MEM 15.914062 1745294932.7088
MEM 15.914062 1745294932.7105
MEM 15.914062 1745294932.7117
MEM 16.070312 1745294932.7129
MEM 16.070312 1745294932.7141
MEM 16.539062 1745294932.7175
MEM 16.539062 1745294932.7187
MEM 16.695312 1745294932.7199
MEM 16.859375 1745294932.7211
MEM 16.859375 1745294932.7223
MEM 17.015625 1745294932.7235
MEM 17.171875 1745294932.7247
MEM 17.640625 1745294932.7258
MEM 17.640625 1745294932.7270
MEM 17.640625 1745294932.7282
MEM 17.796875 1745294932.7294
MEM 17.953125 1745294932.7306
MEM 18.109375 1745294932.7317
MEM 18.421875 1745294932.7329
MEM 18.578125 1745294932.7341
MEM 18.734375 1745294932.7353
MEM 18.890625 1745294932.7365
MEM 18.890625 1745294932.7395
MEM 18.890625 1745294932.7407
MEM 19.203125 1745294932.7419
MEM 19.394531 1745294932.7431
MEM 19.550781 1745294932.7442
MEM 19.550781 1745294932.7454
MEM 19.550781 1745294932.7466
MEM 19.550781 1745294932.7478
MEM 19.550781 1745294932.7490
MEM 19.707031 1745294932.7501
MEM 19.902344 1745294932.7513
MEM 19.902344 1745294932.7525
MEM 19.902344 1745294932.7537
MEM 20.375000 1745294932.7575
MEM 20.375000 1745294932.7587
MEM 20.375000 1745294932.7599
MEM 20.375000 1745294932.7611
MEM 20.375000 1745294932.7622
MEM 20.375000 1745294932.7634
MEM 20.375000 1745294932.7646
MEM 20.531250 1745294932.7658
MEM 20.531250 1745294932.7669
MEM 20.531250 1745294932.7681
MEM 20.531250 1745294932.7693
MEM 20.687500 1745294932.7705
MEM 20.687500 1745294932.7717
MEM 20.843750 1745294932.7728
MEM 20.843750 1745294932.7740
MEM 21.167969 1745294932.7752
MEM 21.167969 1745294932.7764
MEM 21.167969 1745294932.7776
MEM 21.167969 1745294932.7788
MEM 21.324219 1745294932.7825
MEM 21.324219 1745294932.7837
MEM 21.480469 1745294932.7849
MEM 21.636719 1745294932.7861
MEM 21.636719 1745294932.7873
MEM 21.792969 1745294932.7887
MEM 21.949219 1745294932.7918
MEM 21.949219 1745294932.7930
MEM 22.261719 1745294932.7941
MEM 22.261719 1745294932.7953
MEM 22.261719 1745294932.8005
MEM 22.261719 1745294932.8017
MEM 22.261719 1745294932.8029
MEM 22.417969 1745294932.8041
MEM 22.417969 1745294932.8052
MEM 22.417969 1745294932.8064
MEM 22.417969 1745294932.8076
MEM 22.417969 1745294932.8088
MEM 22.417969 1745294932.8099
MEM 22.574219 1745294932.8111
MEM 22.730469 1745294932.8123
MEM 22.730469 1745294932.8135
MEM 22.730469 1745294932.8146
MEM 22.730469 1745294932.8158
MEM 23.042969 1745294932.8170
MEM 23.355469 1745294932.8182
MEM 23.355469 1745294932.8215
MEM 23.667969 1745294932.8260
MEM 23.667969 1745294932.8272
MEM 23.667969 1745294932.8284
MEM 23.667969 1745294932.8295
MEM 23.667969 1745294932.8307
MEM 23.667969 1745294932.8319
MEM 23.667969 1745294932.8331
MEM 23.667969 1745294932.8343
MEM 23.824219 1745294932.8355
MEM 23.824219 1745294932.8367
MEM 23.824219 1745294932.8379
MEM 23.980469 1745294932.8390
MEM 23.980469 1745294932.8402
MEM 24.292969 1745294932.8414
MEM 24.292969 1745294932.8426
MEM 24.292969 1745294932.8438
MEM 24.449219 1745294932.8450
MEM 24.449219 1745294932.8462
MEM 24.605469 1745294932.8514
MEM 24.605469 1745294932.8526
MEM 24.605469 1745294932.8538
MEM 24.605469 1745294932.8550
MEM 24.953125 1745294932.8562
MEM 25.109375 1745294932.8604
MEM 25.109375 1745294932.8615
MEM 25.109375 1745294932.8628
MEM 25.109375 1745294932.8640
MEM 25.109375 1745294932.8655
MEM 25.109375 1745294932.8666
MEM 25.109375 1745294932.8680
MEM 25.109375 1745294932.8695
MEM 25.265625 1745294932.8707
MEM 25.265625 1745294932.8719
MEM 25.421875 1745294932.8731
MEM 25.578125 1745294932.8780
MEM 25.890625 1745294932.8792
MEM 25.890625 1745294932.8804
MEM 26.046875 1745294932.8815
MEM 26.046875 1745294932.8836
MEM 26.046875 1745294932.8853
MEM 26.203125 1745294932.8865
MEM 26.203125 1745294932.8877
MEM 26.359375 1745294932.8893
