CMDLINE /home/hople/Downloads/miniconda3/yes/envs/algorithm/bin/python ./../dat_results/gpt-4-turbo/275.py
MEM 4.156250 1745294933.3039
MEM 5.316406 1745294933.3051
MEM 5.503906 1745294933.3063
MEM 5.503906 1745294933.3075
MEM 5.503906 1745294933.3086
MEM 5.867188 1745294933.3098
MEM 6.546875 1745294933.3110
MEM 6.703125 1745294933.3122
MEM 6.867188 1745294933.3133
MEM 6.867188 1745294933.3145
MEM 7.046875 1745294933.3157
MEM 7.203125 1745294933.3168
MEM 8.226562 1745294933.3215
MEM 8.382812 1745294933.3227
MEM 8.382812 1745294933.3239
MEM 8.382812 1745294933.3251
MEM 8.539062 1745294933.3262
MEM 8.851562 1745294933.3274
MEM 8.851562 1745294933.3285
MEM 9.164062 1745294933.3297
MEM 9.164062 1745294933.3308
MEM 9.320312 1745294933.3320
MEM 9.476562 1745294933.3332
MEM 9.476562 1745294933.3343
MEM 9.476562 1745294933.3355
MEM 9.632812 1745294933.3366
MEM 9.789062 1745294933.3378
MEM 9.945312 1745294933.3389
MEM 9.945312 1745294933.3401
MEM 9.945312 1745294933.3412
MEM 9.945312 1745294933.3424
MEM 10.109375 1745294933.3435
MEM 10.109375 1745294933.3446
MEM 10.109375 1745294933.3458
MEM 10.265625 1745294933.3469
MEM 10.421875 1745294933.3481
MEM 10.421875 1745294933.3492
MEM 10.578125 1745294933.3503
MEM 10.765625 1745294933.3515
MEM 11.078125 1745294933.3527
MEM 11.078125 1745294933.3538
MEM 11.078125 1745294933.3549
MEM 11.078125 1745294933.3561
MEM 11.078125 1745294933.3573
MEM 11.078125 1745294933.3585
MEM 11.718750 1745294933.3635
MEM 11.718750 1745294933.3647
MEM 11.718750 1745294933.3659
MEM 11.718750 1745294933.3670
MEM 11.875000 1745294933.3682
MEM 12.710938 1745294933.3693
MEM 14.257812 1745294933.3705
MEM 14.746094 1745294933.3717
MEM 14.746094 1745294933.3729
MEM 14.902344 1745294933.3740
MEM 15.433594 1745294933.3752
MEM 15.902344 1745294933.3763
MEM 16.058594 1745294933.3775
MEM 16.058594 1745294933.3786
MEM 16.371094 1745294933.3797
MEM 16.371094 1745294933.3809
MEM 16.527344 1745294933.3820
MEM 16.527344 1745294933.3832
MEM 16.683594 1745294933.3844
MEM 16.847656 1745294933.3855
MEM 16.847656 1745294933.3867
MEM 17.003906 1745294933.3879
MEM 17.160156 1745294933.3891
MEM 17.316406 1745294933.3902
MEM 17.628906 1745294933.3914
MEM 17.628906 1745294933.3925
MEM 17.628906 1745294933.3937
MEM 17.785156 1745294933.3948
MEM 17.941406 1745294933.3960
MEM 18.253906 1745294933.3971
MEM 18.410156 1745294933.3983
MEM 18.566406 1745294933.3994
MEM 18.722656 1745294933.4006
MEM 18.878906 1745294933.4018
MEM 19.539062 1745294933.4055
MEM 19.539062 1745294933.4067
MEM 19.890625 1745294933.4079
MEM 20.207031 1745294933.4090
MEM 20.363281 1745294933.4102
MEM 20.363281 1745294933.4113
MEM 20.363281 1745294933.4125
MEM 20.519531 1745294933.4136
MEM 20.519531 1745294933.4148
MEM 20.519531 1745294933.4159
MEM 20.519531 1745294933.4171
MEM 20.675781 1745294933.4182
MEM 20.832031 1745294933.4193
MEM 21.156250 1745294933.4204
MEM 21.156250 1745294933.4216
MEM 21.312500 1745294933.4227
MEM 21.468750 1745294933.4238
MEM 21.625000 1745294933.4249
MEM 21.781250 1745294933.4261
MEM 22.093750 1745294933.4272
MEM 22.250000 1745294933.4284
MEM 22.250000 1745294933.4296
MEM 22.250000 1745294933.4308
MEM 22.250000 1745294933.4320
MEM 22.718750 1745294933.4365
MEM 23.187500 1745294933.4377
MEM 23.343750 1745294933.4389
MEM 23.343750 1745294933.4401
MEM 23.656250 1745294933.4412
MEM 23.656250 1745294933.4424
MEM 23.656250 1745294933.4436
MEM 23.656250 1745294933.4447
MEM 23.656250 1745294933.4459
MEM 23.656250 1745294933.4470
MEM 23.656250 1745294933.4482
MEM 23.656250 1745294933.4493
MEM 23.656250 1745294933.4504
MEM 23.656250 1745294933.4516
MEM 23.656250 1745294933.4527
MEM 23.656250 1745294933.4539
MEM 23.656250 1745294933.4550
MEM 23.656250 1745294933.4562
MEM 23.812500 1745294933.4574
MEM 24.281250 1745294933.4585
MEM 24.281250 1745294933.4597
MEM 24.437500 1745294933.4609
MEM 24.437500 1745294933.4620
MEM 24.437500 1745294933.4633
MEM 24.593750 1745294933.4644
MEM 24.593750 1745294933.4656
MEM 24.785156 1745294933.4668
MEM 24.941406 1745294933.4679
MEM 25.097656 1745294933.4691
MEM 25.097656 1745294933.4726
MEM 25.097656 1745294933.4737
MEM 25.253906 1745294933.4749
MEM 25.253906 1745294933.4760
MEM 25.566406 1745294933.4772
MEM 25.878906 1745294933.4783
MEM 25.878906 1745294933.4794
MEM 26.035156 1745294933.4806
MEM 26.035156 1745294933.4817
MEM 26.515625 1745294933.4829
MEM 26.515625 1745294933.4841
MEM 26.671875 1745294933.4853
MEM 26.671875 1745294933.4864
MEM 26.828125 1745294933.4876
MEM 26.828125 1745294933.4887
MEM 26.984375 1745294933.4899
MEM 26.984375 1745294933.4910
MEM 27.140625 1745294933.4922
MEM 27.140625 1745294933.4933
MEM 27.140625 1745294933.4945
MEM 27.296875 1745294933.4977
MEM 27.296875 1745294933.4989
MEM 27.453125 1745294933.5001
MEM 27.453125 1745294933.5012
MEM 27.609375 1745294933.5024
MEM 27.609375 1745294933.5035
MEM 27.765625 1745294933.5047
MEM 27.765625 1745294933.5059
MEM 27.921875 1745294933.5070
MEM 27.921875 1745294933.5082
MEM 27.921875 1745294933.5093
MEM 28.078125 1745294933.5105
MEM 28.078125 1745294933.5116
MEM 28.078125 1745294933.5128
MEM 28.234375 1745294933.5145
MEM 28.234375 1745294933.5157
MEM 28.234375 1745294933.5168
MEM 28.390625 1745294933.5180
MEM 28.703125 1745294933.5216
MEM 28.859375 1745294933.5227
MEM 28.859375 1745294933.5239
MEM 29.015625 1745294933.5251
MEM 29.015625 1745294933.5262
MEM 29.171875 1745294933.5273
MEM 29.171875 1745294933.5285
MEM 29.171875 1745294933.5296
MEM 29.171875 1745294933.5307
MEM 29.171875 1745294933.5319
MEM 30.246094 1745294933.5330
MEM 31.160156 1745294933.5341
MEM 31.507812 1745294933.5353
MEM 31.664062 1745294933.5364
MEM 31.664062 1745294933.5375
MEM 31.664062 1745294933.5386
MEM 31.664062 1745294933.5398
MEM 31.664062 1745294933.5409
MEM 31.820312 1745294933.5420
MEM 31.820312 1745294933.5431
MEM 31.976562 1745294933.5443
MEM 31.976562 1745294933.5455
MEM 32.132812 1745294933.5476
MEM 32.289062 1745294933.5488
MEM 32.445312 1745294933.5500
MEM 32.601562 1745294933.5512
MEM 32.757812 1745294933.5523
MEM 32.914062 1745294933.5535
MEM 32.914062 1745294933.5547
MEM 33.226562 1745294933.5558
MEM 33.382812 1745294933.5570
MEM 33.382812 1745294933.5582
MEM 33.382812 1745294933.5593
MEM 33.382812 1745294933.5604
MEM 33.695312 1745294933.5627
MEM 33.851562 1745294933.5639
MEM 34.007812 1745294933.5650
MEM 34.007812 1745294933.5675
MEM 34.007812 1745294933.5687
MEM 34.164062 1745294933.5698
MEM 34.484375 1745294933.5710
MEM 34.886719 1745294933.5721
MEM 35.042969 1745294933.5733
MEM 35.042969 1745294933.5744
MEM 35.042969 1745294933.5756
MEM 35.042969 1745294933.5767
MEM 35.199219 1745294933.5779
MEM 35.199219 1745294933.5791
MEM 35.199219 1745294933.5802
MEM 35.355469 1745294933.5823
MEM 35.355469 1745294933.5835
MEM 35.511719 1745294933.5847
MEM 35.980469 1745294933.5858
MEM 36.410156 1745294933.5895
MEM 36.566406 1745294933.5907
MEM 36.566406 1745294933.5919
MEM 36.722656 1745294933.5931
MEM 36.722656 1745294933.5942
MEM 36.878906 1745294933.5954
MEM 37.035156 1745294933.5966
MEM 37.035156 1745294933.5978
MEM 37.191406 1745294933.5989
MEM 37.191406 1745294933.6001
MEM 37.347656 1745294933.6013
MEM 37.347656 1745294933.6024
MEM 37.503906 1745294933.6036
MEM 37.660156 1745294933.6048
MEM 37.660156 1745294933.6059
MEM 37.816406 1745294933.6071
MEM 38.128906 1745294933.6083
MEM 38.285156 1745294933.6098
MEM 38.441406 1745294933.6145
MEM 38.441406 1745294933.6157
MEM 38.753906 1745294933.6169
MEM 38.910156 1745294933.6181
MEM 39.066406 1745294933.6193
MEM 39.066406 1745294933.6204
MEM 39.222656 1745294933.6216
MEM 39.378906 1745294933.6228
MEM 39.378906 1745294933.6239
MEM 39.847656 1745294933.6251
MEM 39.847656 1745294933.6263
MEM 40.003906 1745294933.6274
MEM 40.003906 1745294933.6286
MEM 40.160156 1745294933.6297
MEM 40.316406 1745294933.6309
MEM 40.316406 1745294933.6321
MEM 40.656250 1745294933.6333
MEM 40.812500 1745294933.6345
MEM 40.968750 1745294933.6356
MEM 40.968750 1745294933.6368
MEM 40.968750 1745294933.6379
MEM 41.125000 1745294933.6391
MEM 41.437500 1745294933.6402
MEM 41.437500 1745294933.6414
MEM 41.597656 1745294933.6426
MEM 41.753906 1745294933.6437
MEM 41.910156 1745294933.6449
MEM 41.910156 1745294933.6460
MEM 42.066406 1745294933.6471
MEM 42.222656 1745294933.6505
MEM 42.222656 1745294933.6517
MEM 42.378906 1745294933.6529
MEM 42.378906 1745294933.6541
MEM 42.535156 1745294933.6552
MEM 42.535156 1745294933.6563
MEM 42.535156 1745294933.6575
MEM 42.691406 1745294933.6586
MEM 42.847656 1745294933.6597
MEM 42.847656 1745294933.6608
MEM 42.847656 1745294933.6620
MEM 43.003906 1745294933.6631
MEM 43.160156 1745294933.6642
MEM 43.160156 1745294933.6653
MEM 43.160156 1745294933.6664
MEM 43.316406 1745294933.6676
MEM 43.472656 1745294933.6687
MEM 43.628906 1745294933.6699
MEM 43.785156 1745294933.6710
MEM 43.785156 1745294933.6722
MEM 43.941406 1745294933.6733
MEM 44.097656 1745294933.6745
MEM 44.253906 1745294933.6785
MEM 44.410156 1745294933.6797
MEM 44.566406 1745294933.6809
MEM 44.566406 1745294933.6820
MEM 44.722656 1745294933.6832
MEM 44.878906 1745294933.6844
MEM 45.035156 1745294933.6856
MEM 45.035156 1745294933.6867
