CMDLINE /home/hople/Downloads/miniconda3/yes/envs/algorithm/bin/python ./../dat_results/gpt-4-turbo/1231.py
MEM 4.585938 1745294932.7398
MEM 5.070312 1745294932.7410
MEM 5.070312 1745294932.7422
MEM 5.070312 1745294932.7434
MEM 5.070312 1745294932.7446
MEM 5.257812 1745294932.7457
MEM 6.335938 1745294932.7469
MEM 6.492188 1745294932.7480
MEM 7.148438 1745294932.7492
MEM 7.148438 1745294932.7504
MEM 7.148438 1745294932.7516
MEM 7.324219 1745294932.7527
MEM 7.480469 1745294932.7539
MEM 8.199219 1745294932.7551
MEM 8.199219 1745294932.7563
MEM 8.199219 1745294932.7574
MEM 8.199219 1745294932.7586
MEM 8.199219 1745294932.7598
MEM 8.980469 1745294932.7645
MEM 8.980469 1745294932.7657
MEM 8.980469 1745294932.7669
MEM 8.980469 1745294932.7681
MEM 8.980469 1745294932.7692
MEM 8.980469 1745294932.7704
MEM 9.136719 1745294932.7716
MEM 9.136719 1745294932.7727
MEM 9.449219 1745294932.7739
MEM 9.449219 1745294932.7751
MEM 9.605469 1745294932.7763
MEM 9.605469 1745294932.7774
MEM 9.605469 1745294932.7786
MEM 9.605469 1745294932.7798
MEM 9.605469 1745294932.7809
MEM 9.761719 1745294932.7821
MEM 9.761719 1745294932.7833
MEM 9.761719 1745294932.7844
MEM 9.917969 1745294932.7856
MEM 9.917969 1745294932.7869
MEM 10.074219 1745294932.7881
MEM 10.074219 1745294932.7893
MEM 10.074219 1745294932.7905
MEM 10.074219 1745294932.7916
MEM 10.074219 1745294932.7928
MEM 10.074219 1745294932.7939
MEM 10.074219 1745294932.7951
MEM 10.074219 1745294932.7962
MEM 10.074219 1745294932.7974
MEM 10.386719 1745294932.8019
MEM 10.386719 1745294932.8031
MEM 10.386719 1745294932.8042
MEM 10.550781 1745294932.8054
MEM 10.863281 1745294932.8067
MEM 10.863281 1745294932.8079
MEM 11.019531 1745294932.8091
MEM 11.019531 1745294932.8102
MEM 11.019531 1745294932.8114
MEM 11.019531 1745294932.8126
MEM 11.203125 1745294932.8137
MEM 11.359375 1745294932.8149
MEM 11.359375 1745294932.8160
MEM 11.359375 1745294932.8173
MEM 11.359375 1745294932.8185
MEM 11.523438 1745294932.8197
MEM 11.523438 1745294932.8208
MEM 11.679688 1745294932.8220
MEM 11.835938 1745294932.8231
MEM 11.835938 1745294932.8243
MEM 11.835938 1745294932.8255
MEM 12.003906 1745294932.8266
MEM 14.535156 1745294932.8306
MEM 14.691406 1745294932.8318
MEM 14.691406 1745294932.8329
MEM 14.691406 1745294932.8341
MEM 14.691406 1745294932.8352
MEM 15.039062 1745294932.8364
MEM 15.437500 1745294932.8376
MEM 15.437500 1745294932.8389
MEM 15.750000 1745294932.8402
MEM 15.906250 1745294932.8413
MEM 15.906250 1745294932.8425
